"","lhs","op","rhs","label","est.std","se","z","pvalue","ci.lower","ci.upper"
"272","RULE_BR6","|","t2","",1.909,0.024,81.103,0,1.862,1.955
"273","RULE_BR7","|","t1","",2.572,0.045,57.677,0,2.484,2.659
"274","RULE_BR7","|","t2","",3.478,0.155,22.47,0,3.174,3.781
"275","RULE_BR8","|","t1","",2.513,0.042,60.195,0,2.431,2.595
"276","RULE_BR8","|","t2","",3.762,0.25,15.044,0,3.272,4.252
"277","RULE_BR9","|","t1","",2.902,0.067,43.482,0,2.771,3.033
"278","RULE_BR9","|","t2","",3.762,0.25,15.044,0,3.272,4.252
"279","RULE_BR10","|","t1","",1.727,0.021,84.107,0,1.687,1.767
"280","RULE_BR10","|","t2","",2.578,0.045,57.427,0,2.49,2.666
"281","RULE_BR11","|","t1","",2.02,0.026,78.301,0,1.97,2.071
"282","RULE_BR11","|","t2","",2.902,0.067,43.482,0,2.771,3.033
"283","RULE_BR12","|","t1","",1.514,0.018,84.8,0,1.479,1.549
"284","RULE_BR12","|","t2","",2.44,0.039,63.246,0,2.365,2.516
"285","RULE_BR13","|","t1","",2.432,0.038,63.586,0,2.357,2.507
"286","RULE_BR13","|","t2","",3.141,0.093,33.917,0,2.959,3.322
"287","RULE_BR14","|","t1","",1.897,0.023,81.355,0,1.851,1.943
"288","RULE_BR14","|","t2","",2.172,0.03,73.555,0,2.114,2.23
"289","RULE_BR15","|","t1","",3.585,0.185,19.425,0,3.223,3.947
"290","RULE_BR16","|","t1","",2.726,0.053,50.993,0,2.621,2.831
"291","RULE_BR16","|","t2","",3.585,0.185,19.425,0,3.223,3.947
"292","RULE_BR17","|","t1","",3.585,0.185,19.425,0,3.223,3.947
"293","RULE_BR17","|","t2","",3.762,0.25,15.044,0,3.272,4.252
"294","RULE_BR18","|","t1","",2.307,0.034,68.627,0,2.241,2.372
"295","RULE_BR18","|","t2","",3.205,0.102,31.509,0,3.006,3.405
"296","AGGRESS1","|","t1","",0.164,0.012,14.207,0,0.142,0.187
"297","AGGRESS1","|","t2","",1.367,0.016,83.291,0,1.335,1.399
"298","AGGRESS2","|","t1","",1.436,0.017,84.206,0,1.402,1.469
"299","AGGRESS2","|","t2","",2.628,0.048,55.268,0,2.534,2.721
"300","AGGRESS3","|","t1","",0.759,0.013,59.297,0,0.734,0.784
"301","AGGRESS3","|","t2","",1.745,0.021,83.901,0,1.704,1.786
"302","AGGRESS4","|","t1","",1.403,0.017,83.821,0,1.37,1.436
"303","AGGRESS4","|","t2","",2.428,0.038,63.754,0,2.353,2.503
"304","AGGRESS5","|","t1","",1.333,0.016,82.698,0,1.301,1.364
"305","AGGRESS5","|","t2","",2.466,0.04,62.173,0,2.388,2.544
"306","AGGRESS6","|","t1","",0.278,0.012,23.824,0,0.255,0.301
"307","AGGRESS6","|","t2","",1.888,0.023,81.542,0,1.843,1.933
"308","AGGRESS7","|","t1","",1.027,0.014,73.301,0,1,1.055
"309","AGGRESS7","|","t2","",2.214,0.031,72.074,0,2.154,2.274
"310","AGGRESS8","|","t1","",1.723,0.02,84.147,0,1.683,1.764
"311","AGGRESS8","|","t2","",2.718,0.053,51.365,0,2.614,2.821
"312","AGGRESS9","|","t1","",1.578,0.019,84.939,0,1.542,1.615
"313","AGGRESS9","|","t2","",2.753,0.055,49.824,0,2.645,2.861
"314","AGGRESS10","|","t1","",1.143,0.015,77.733,0,1.114,1.172
"315","AGGRESS10","|","t2","",2.074,0.027,76.749,0,2.021,2.127
"316","AGGRESS11","|","t1","",0.464,0.012,38.776,0,0.441,0.488
"317","AGGRESS11","|","t2","",1.748,0.021,83.866,0,1.707,1.789
"318","AGGRESS12","|","t1","",0.864,0.013,65.369,0,0.838,0.89
"319","AGGRESS12","|","t2","",1.989,0.025,79.156,0,1.94,2.038
"320","AGGRESS13","|","t1","",1.1,0.014,76.219,0,1.072,1.129
"321","AGGRESS13","|","t2","",2.2,0.03,72.59,0,2.14,2.259
"322","AGGRESS14","|","t1","",1.719,0.02,84.195,0,1.679,1.759
"323","AGGRESS14","|","t2","",2.677,0.05,53.107,0,2.579,2.776
"324","AGGRESS15","|","t1","",1.252,0.015,80.927,0,1.222,1.282
"325","AGGRESS15","|","t2","",2.365,0.036,66.336,0,2.295,2.435
"326","AGGRESS16","|","t1","",0.648,0.012,52.118,0,0.624,0.672
"327","AGGRESS16","|","t2","",1.753,0.021,83.805,0,1.712,1.794
"328","AGGRESS17","|","t1","",1.846,0.022,82.371,0,1.802,1.89
