"","lhs","op","rhs","est.std","se","z","pvalue","ci.lower","ci.upper"
"169","SOMATIC7","|","t2",2.48,0.04,61.606,0,2.401,2.558
"170","SOMATIC8","|","t1",1.747,0.021,83.878,0,1.706,1.788
"171","SOMATIC8","|","t2",2.453,0.039,62.719,0,2.376,2.53
"172","SOMATIC9","|","t1",1.03,0.014,73.423,0,1.002,1.057
"173","SOMATIC9","|","t2",2.037,0.026,77.833,0,1.986,2.088
"174","SOMATIC10","|","t1",0.772,0.013,60.09,0,0.747,0.797
"175","SOMATIC10","|","t2",2.121,0.028,75.252,0,2.066,2.177
"176","SOMATIC11","|","t1",1.674,0.02,84.582,0,1.635,1.713
"177","SOMATIC11","|","t2",2.916,0.068,42.874,0,2.783,3.05
"178","SOCIAL1","|","t1",0.949,0.014,69.76,0,0.923,0.976
"179","SOCIAL1","|","t2",2.022,0.026,78.256,0,1.971,2.073
"180","SOCIAL2","|","t1",1.157,0.015,78.181,0,1.128,1.186
"181","SOCIAL2","|","t2",2.212,0.031,72.162,0,2.152,2.272
"182","SOCIAL3","|","t1",1.231,0.015,80.382,0,1.201,1.261
"183","SOCIAL3","|","t2",2.498,0.041,60.816,0,2.418,2.579
"184","SOCIAL4","|","t1",0.724,0.013,57.127,0,0.699,0.749
"185","SOCIAL4","|","t2",1.878,0.023,81.747,0,1.833,1.923
"186","SOCIAL5","|","t1",1.598,0.019,84.919,0,1.562,1.635
"187","SOCIAL5","|","t2",2.648,0.049,54.377,0,2.553,2.744
"188","SOCIAL6","|","t1",1.062,0.014,74.731,0,1.034,1.09
"189","SOCIAL6","|","t2",2.102,0.028,75.881,0,2.047,2.156
"190","SOCIAL7","|","t1",1.08,0.014,75.467,0,1.052,1.109
"191","SOCIAL7","|","t2",2.161,0.029,73.933,0,2.104,2.218
"192","SOCIAL8","|","t1",1.338,0.016,82.803,0,1.307,1.37
"193","SOCIAL8","|","t2",2.475,0.04,61.798,0,2.397,2.554
"194","SOCIAL9","|","t1",1.192,0.015,79.273,0,1.162,1.221
"195","SOCIAL9","|","t2",2.179,0.03,73.322,0,2.121,2.237
"196","SOCIAL10","|","t1",0.947,0.014,69.647,0,0.92,0.974
"197","SOCIAL10","|","t2",2.125,0.028,75.122,0,2.07,2.181
"198","SOCIAL11","|","t1",1.287,0.016,81.758,0,1.256,1.318
"199","SOCIAL11","|","t2",2.006,0.025,78.699,0,1.956,2.056
"200","THOUGHT1","|","t1",0.655,0.012,52.613,0,0.631,0.68
"201","THOUGHT1","|","t2",1.721,0.02,84.166,0,1.681,1.762
"202","THOUGHT2","|","t1",2.432,0.038,63.586,0,2.357,2.507
"203","THOUGHT2","|","t2",3.338,0.124,26.869,0,3.095,3.582
"204","THOUGHT3","|","t1",2.247,0.032,70.869,0,2.185,2.309
"205","THOUGHT3","|","t2",3.287,0.115,28.6,0,3.062,3.512
"206","THOUGHT4","|","t1",1.269,0.016,81.35,0,1.239,1.3
"207","THOUGHT4","|","t2",2.123,0.028,75.187,0,2.068,2.179
